Character Number	SimJ Score MACHINE	NIC Score MACHINE	SimJ Score HUMAN	NIC Score HUMAN
1	0.112554113	0.59320566	1	0.893731487
1	0.458823529	0.679009722	1	0.874253036
1	0.308707124	0.650112516	1	0.864296235
2	0	0	0.454545455	0.812465795
2	0	0	0.454545455	0.912106644
3	0	0	0.493722669	0.924292784
3	0	0	0.493722669	0.924292784
4	0	0	0.399141631	0.742317056
4	0	0	0.399141631	0.742317056
5	0.347826087	0.797197327	0.347826087	0.797197327
5	0.347826087	0.797197327	0.347826087	0.797197327
5	0	0	0	0
6	1	0.831194424	1	0.924292784
6	0.714285714	0.864296235	1	0.962146392
6	0.511156187	0.826442627	1	0.962146392
6	0	0	0	0
6	0	0	0	0
7	0.074626866	0.859925006	0.074626866	0.859925006
7	0	0	0.102040816	0.859925006
8	0	0	0.688888889	0.912106644
8	0	0	0.070776256	0.836399428
9	0	0	0.5	0.924292784
9	0.030075188	0.501815599	0.333333333	0.924292784
10	0	0	0.85	0.893731487
10	0.051671733	0.754259938	0.85	0.912106644
10	0	0	0.85	0.893731487
11	0	0	1	0.874253036
11	0	0	1	0.940003451
12	0	0	1	0.902149843
12	1	0.880006902	1	0.880006902
13	0.004310345	0.722498347	0.389705882	0.924292784
13	0	0	0.630952381	0.962146392
14	2.56E-05	0.414938228	1	0.902149843
14	0.451612903	0.852110095	1	0.886439176
15	0	0	0.461538462	0.874253036
15	0	0	1	0.912106644
16	0	0	1	0.924292784
16	0	0	1	0.924292784
17	0.002309469	0.642707674	0.666666667	0.886439176
17	0.002309469	0.642707674	1	0.924292784
18	0.002213448	0.616570092	0.666666667	0.886439176
18	0.002213448	0.616570092	1	0.924292784
19	0.122655123	0.560080735	0.5	0.902149843
19	0	0	1	0.962146392
19	0.965909091	0.807421176	1	0.902149843
20	0	0	1	0.924292784
20	0	0	1	0.924292784
21	0	0	1	0.902149843
21	0.183486239	0.777320736	1	0.902149843
22	0	0	1	0.893731487
22	0	0	1	0.924292784
23	0	0	0.117145371	0.845274784
23	0	0	0.117145371	0.845274784
24	0.000228571	0.378868569	0.285714286	0.886439176
24	0.000228571	0.378868569	0.285714286	0.886439176
25	0.97826087	0.902149843	0.97826087	0.902149843
25	0.97826087	0.902149843	0.97826087	0.902149843
26	0.001751752	0.570179839	1	0.962146392
26	1	0.869048032	1	0.940003451
27	0.045258621	0.545225979	0.096214511	0.615795452
27	0.045258621	0.545225979	0.096214511	0.615795452
28	0.010752688	0.717324187	0.010208611	0.634537193
28	0.010752688	0.717324187	0.039349872	0.644548226
29	0.210526316	0.797197327	0.210526316	0.797197327
29	0.203703704	0.605606789	0.203703704	0.605606789
30	0	0	0.666666667	0.886439176
30	0.001689597	0.449642676	0.571428571	0.886439176
31	0	0	0.122727273	0.886439176
31	0	0	0.122727273	0.886439176
32	0	0	0.528735632	0.818024272
32	0	0	0.528735632	0.818024272
33	0	0	1	0.924292784
33	0.808823529	0.794596301	1	0.880006902
33	0	0	1	0.886439176
33	1	0.855877879	1	0.880006902
33	1	0.855877879	1	0.855877879
34	0	0	1	0.902149843
34	0	0	1	0.924292784
34	0	0	1	0.924292784
34	0	0	1	0.962146392
35	1	0.902149843	1	0.902149843
35	1	0.902149843	1	0.902149843
36	0	0	0.333333333	0.902149843
36	0	0	1	0.962146392
37	0.6	0.820010353	0.68	0.940003451
37	1	0.826442627	0.68	0.826442627
38	0.387096774	0.864296235	0.435897436	0.864296235
38	0	0	0.380597015	0.818024272
38	0.309012876	0.818024272	0.75	0.912106644
39	0.111111111	0.842153294	0.109859155	0.842153294
39	0	0	0.420863309	0.864296235
39	0	0	0.420863309	0.864296235
39	0.125	0.842153294	0.420863309	0.864296235
40	0.002171388	0.549281231	1	0.940003451
40	0.43877551	0.859925006	1	0.940003451
40	0.002171388	0.549281231	1	0.940003451
41	0	0	0.428571429	0.940003451
41	0.254237288	0.859925006	0.428571429	0.924292784
42	0	0	1	0.912106644
42	0	0	1	0.940003451
42	0	0	1	0.912106644
43	0	0	0.006963984	0.636118245
43	0.16744186	0.657224889	0.007343941	0.709839379
43	0.087591241	0.657224889	0.007220217	0.709839379
44	0.013088189	0.700695663	0.239554318	0.852110095
44	0.013088189	0.660177565	0.318518519	0.893731487
45	0	0	0.5	0.924292784
45	0.142857143	0.845274784	0.6	0.924292784
46	0.015873016	0.703496852	0.885714286	0.924292784
46	0.015873016	0.703496852	0.885714286	0.924292784
47	0.002336449	0.583450553	0.666666667	0.886439176
47	0.083333333	0.583450553	1	0.962146392
48	0	0	0.4	0.940003451
48	0.510416667	0.824213288	1	0.912106644
48	1	0.874253036	1	0.912106644
49	0	0	1	0.940003451
49	0	0	1	0.940003451
50	0	0	0	0
50	0	0	0	0
51	0.5	0.671184615	0.011962273	0.701845415
51	0.153846154	0.669359726	0.011962273	0.717324187
51	1	0.869048032	1	0.869048032
52	0	0	0.2	0.741831619
52	0	0	0.2	0.720828149
53	0	0	1	0.848585568
53	0	0	1	0.848585568
54	0.010648596	0.738549271	0.666666667	0.902149843
54	0.010648596	0.738549271	0.666666667	0.902149843
55	0	0	0.25	0.874253036
55	0.003533569	0.630868874	0.25	0.912106644
55	1	0.848585568	1	0.848585568
56	0	0	1	0.880006902
56	0	0	1	0.886439176
57	0.37414966	0.848585568	0.611111111	0.962146392
57	0	0	0.611111111	0.924292784
58	0	0	0.78125	0.924292784
58	0	0	0.78125	0.924292784
59	0	0	1	0.924292784
59	0	0	1	0.902149843
60	1	0.864296235	1	0.864296235
60	0.105263158	0.78635968	1	0.912106644
61	0.946808511	0.753656493	1	0.839200617
61	0.946808511	0.805838132	1	0.828766859
62	0	0	0.005315461	0.493619185
62	0	0	0.005315461	0.493619185
63	1	0.864296235	1	0.864296235
63	1	0.750169487	0.25	0.962146392
64	0.025588536	0.674603203	0.00780762	0.698466325
64	0.002290846	0.692668788	0.170693277	0.940003451
65	0.001594896	0.572154337	0.8	0.924292784
65	0.002985075	0.572154337	0.8	0.962146392
65	0.002364066	0.572154337	0.007067138	0.580551078
65	0	0	0	0
66	0	0	0.594202899	0.962146392
66	0	0	0.594202899	0.962146392
67	0.001831466	0.604462024	1	0.940003451
67	0.001831466	0.604462024	1	0.912106644
68	0	0	0.002687394	0.641771459
68	0.691489362	0.893731487	0.002687394	0.641771459
69	0	0	0.123376623	0.886439176
69	0	0	0.123376623	0.886439176
70	0.290909091	0.694263389	1	0.902149843
70	0.00147126	0.488869099	1	0.962146392
70	0.001917863	0.488869099	1	0.940003451
70	0.005901288	0.586176229	0.820900901	0.962146392
71	1	0.836399428	1	0.836399428
71	0.003095975	0.600398158	0.25	0.912106644
71	0.003095975	0.600398158	0.25	0.962146392
72	0	0	1	0.940003451
72	0	0	1	0.940003451
73	0.064356436	0.593652511	1	0.940003451
73	0.049056604	0.593652511	1	0.940003451
74	1	0.859925006	1	0.859925006
74	1	0.859925006	1	0.859925006
75	1	0.874253036	0.739726027	0.902149843
75	1	0.869048032	1	0.912106644
76	0	0	0.615384615	0.962146392
76	0	0	0.615384615	0.962146392
77	0.002772003	0.643660219	1	0.940003451
77	0	0	1	0.902149843
78	1	0.855877879	1	0.855877879
78	1	0.855877879	1	0.855877879
79	0	0	1	0.924292784
79	0	0	1	0.902149843
80	1	0.855877879	1	0.855877879
80	1	0.855877879	1	0.855877879
81	0	0	0.955555556	0.902149843
81	0.220588235	0.77203165	0.955555556	0.902149843
82	1	0.797197327	1	0.924292784
82	1	0.797197327	1	0.924292784
82	1	0.855877879	1	0.855877879
83	0	0	1	0.912106644
83	0.465753425	0.833734938	1	0.912106644
84	1	0.855877879	1	0.855877879
84	1	0.855877879	1	0.855877879
85	0	0	0.958333333	0.924292784
85	0.008130081	0.735884781	0.958333333	0.940003451
85	1	0.864296235	0.741935484	0.855877879
86	0	0	1	0.924292784
86	0.230039526	0.701152664	1	0.924292784
87	0.255813953	0.689427381	0.255813953	0.689427381
